"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2020";"0000";"18,4";"18,8";"17,7";"84,0";"87,0";"84,0";"15,7";"16,3";"15,3";"895,2";"895,2";"894,7";"1,4";"39,0";"6,4";"";"0,0"
"01/01/2020";"0100";"19,0";"19,0";"17,5";"83,0";"87,0";"83,0";"16,0";"16,4";"15,0";"895,8";"895,8";"895,2";"2,1";"12,0";"5,3";"";"0,0"
"01/01/2020";"0200";"17,8";"19,4";"17,7";"87,0";"87,0";"81,0";"15,7";"16,3";"15,2";"896,0";"896,0";"895,8";"1,0";"51,0";"5,3";"";"0,0"
"01/01/2020";"0300";"17,0";"17,9";"16,8";"89,0";"89,0";"87,0";"15,1";"15,8";"14,9";"895,7";"896,0";"895,7";"1,4";"39,0";"4,4";"";"0,0"
"01/01/2020";"0400";"16,4";"17,0";"16,3";"90,0";"90,0";"88,0";"14,8";"15,1";"14,5";"895,2";"895,7";"895,2";"1,2";"30,0";"4,1";"";"0,0"
"01/01/2020";"0500";"16,9";"16,9";"16,1";"90,0";"91,0";"90,0";"15,3";"15,3";"14,5";"894,7";"895,2";"894,7";"1,3";"28,0";"2,7";"";"0,0"
"01/01/2020";"0600";"17,8";"17,8";"16,6";"88,0";"90,0";"88,0";"15,8";"15,9";"14,8";"894,3";"894,8";"894,3";"1,8";"8,0";"3,3";"";"0,0"
"01/01/2020";"0700";"18,2";"18,3";"17,6";"88,0";"88,0";"87,0";"16,1";"16,1";"15,5";"894,4";"894,4";"894,2";"1,8";"71,0";"4,5";"";"0,0"
"01/01/2020";"0800";"18,4";"18,5";"18,0";"86,0";"88,0";"85,0";"16,0";"16,1";"15,7";"894,7";"894,8";"894,4";"2,1";"83,0";"4,9";"";"0,0"
"01/01/2020";"0900";"19,0";"19,0";"18,2";"85,0";"87,0";"85,0";"16,4";"16,4";"15,9";"894,9";"894,9";"894,7";"3,5";"87,0";"7,3";"75,50";"0,0"
"01/01/2020";"1000";"19,9";"20,0";"18,9";"79,0";"85,0";"78,0";"16,1";"16,5";"16,1";"895,1";"895,1";"894,9";"3,8";"78,0";"8,5";"735,20";"0,0"
"01/01/2020";"1100";"21,6";"21,8";"19,9";"70,0";"80,0";"70,0";"15,9";"16,6";"15,8";"895,0";"895,1";"895,0";"4,2";"78,0";"8,3";"1473,90";"0,0"
"01/01/2020";"1200";"22,3";"22,4";"21,6";"66,0";"71,0";"66,0";"15,6";"16,2";"15,3";"894,9";"895,0";"894,8";"4,7";"83,0";"9,0";"2654,40";"0,0"
"01/01/2020";"1300";"24,1";"24,3";"22,3";"61,0";"67,0";"61,0";"16,1";"16,8";"15,3";"894,4";"894,9";"894,4";"4,0";"71,0";"8,9";"3314,10";"0,0"
"01/01/2020";"1400";"25,6";"26,2";"23,9";"55,0";"63,0";"52,0";"15,9";"17,0";"15,2";"894,0";"894,4";"893,9";"3,7";"69,0";"8,4";"3728,70";"0,0"
"01/01/2020";"1500";"26,3";"27,4";"25,4";"48,0";"56,0";"43,0";"14,3";"16,3";"12,8";"893,5";"894,0";"893,5";"2,8";"58,0";"8,5";"3341,10";"0,0"
"01/01/2020";"1600";"26,5";"27,5";"26,0";"49,0";"52,0";"44,0";"14,8";"15,7";"13,3";"892,9";"893,5";"892,9";"1,7";"265,0";"6,9";"2343,90";"0,0"
"01/01/2020";"1700";"26,2";"28,0";"26,1";"53,0";"57,0";"45,0";"15,8";"17,3";"14,2";"892,4";"892,9";"892,4";"1,0";"257,0";"4,5";"1883,80";"0,0"
"01/01/2020";"1800";"26,0";"26,9";"25,9";"57,0";"59,0";"50,0";"16,8";"17,1";"15,1";"891,6";"892,4";"891,6";"1,1";"208,0";"5,1";"1418,50";"0,0"
"01/01/2020";"1900";"23,0";"26,0";"23,0";"69,0";"69,0";"55,0";"16,9";"17,3";"16,1";"891,7";"891,7";"891,4";"1,9";"76,0";"5,2";"745,20";"0,0"
"01/01/2020";"2000";"20,4";"23,0";"20,4";"81,0";"82,0";"69,0";"17,1";"17,5";"16,6";"891,9";"892,1";"891,7";"1,8";"44,0";"7,4";"534,70";"0,6"
"01/01/2020";"2100";"19,2";"20,4";"19,2";"87,0";"87,0";"81,0";"17,1";"17,1";"16,3";"891,7";"891,9";"891,6";"0,6";"114,0";"4,3";"175,30";"1,0"
